elapsed, window, total, successful, failed
10.000035, 10.000035, 112982, 3706, 109276
20.001013, 10.000978, 375644, 2089, 373555
30.000915, 9.999902, 303737, 1925, 301812
40.000983, 10.000068, 232628, 1305, 231323
50.000916, 9.999933, 324918, 370, 324548
60.000925, 10.000009, 302120, 630, 301490
70.000922, 9.999997, 205814, 816, 204998
80.000916, 9.999994, 144842, 2159, 142683
90.000913, 9.999997, 53071, 3222, 49849
100.000919, 10.000006, 109403, 2205, 107198
110.000916, 9.999997, 127299, 1892, 125407
120.000917, 10.000001, 59221, 1897, 57324
130.000944, 10.000027, 108148, 2122, 106026
140.000914, 9.99997, 53347, 2647, 50700
150.000972, 10.000058, 105394, 1918, 103476
160.000916, 9.999944, 108558, 1862, 106696
170.000921, 10.000005, 34178, 3362, 30816
180.000917, 9.999996, 98196, 2028, 96168
190.000917, 10.0, 121596, 1338, 120258
200.000934, 10.000017, 156561, 1097, 155464
210.000936, 10.000002, 182223, 1680, 180543
220.000944, 10.000008, 119490, 1593, 117897
230.00092, 9.999976, 200275, 1713, 198562
240.001026, 10.000106, 195495, 884, 194611
250.000916, 9.99989, 234430, 1065, 233365
260.000916, 10.0, 27076, 3116, 23960
270.000918, 10.000002, 116062, 1765, 114297
280.000914, 9.999996, 186928, 1333, 185595
290.00095, 10.000036, 152212, 1196, 151016
300.001406, 10.000456, 97558, 2457, 95101
310.000183, 9.998777, 206347, 1063, 205284
320.000135, 9.999952, 143434, 1590, 141844
329.999984, 9.999849, 173292, 957, 172335
340.000917, 10.000933, 195860, 1140, 194720
350.000922, 10.000005, 265149, 753, 264396
360.001061, 10.000139, 241340, 1105, 240235
369.99999, 9.998929, 184133, 1355, 182778
380.000922, 10.000932, 166961, 1722, 165239
390.000919, 9.999997, 169203, 1966, 167237
400.000943, 10.000024, 234182, 1446, 232736
410.000914, 9.999971, 183620, 1441, 182179
420.000927, 10.000013, 266371, 1325, 265046
430.000914, 9.999987, 121584, 1318, 120266
440.00091, 9.999996, 199221, 1137, 198084
450.001248, 10.000338, 174249, 1560, 172689
460.000006, 9.998758, 56578, 2642, 53936
470.000916, 10.00091, 136651, 1664, 134987
480.000923, 10.000007, 353365, 561, 352804
490.000928, 10.000005, 295415, 769, 294646
500.00094, 10.000012, 152434, 1499, 150935
510.000912, 9.999972, 278312, 940, 277372
520.000917, 10.000005, 249438, 641, 248797
530.000927, 10.00001, 109135, 2340, 106795
540.001004, 10.000077, 198155, 472, 197683
550.000921, 9.999917, 262757, 609, 262148
560.000961, 10.00004, 143846, 1217, 142629
570.000917, 9.999956, 255376, 1156, 254220
580.00104, 10.000123, 278921, 496, 278425
589.999987, 9.998947, 245845, 1168, 244677
600.000991, 10.001004, 270270, 974, 269296
610.001007, 10.000016, 305238, 745, 304493
620.000915, 9.999908, 192804, 1023, 191781
630.000918, 10.000003, 282982, 550, 282432
640.000927, 10.000009, 207572, 1178, 206394
650.000921, 9.999994, 179455, 965, 178490
660.000914, 9.999993, 154570, 1075, 153495
670.000919, 10.000005, 231095, 783, 230312
680.000924, 10.000005, 278411, 918, 277493
690.00092, 9.999996, 167389, 919, 166470
700.000915, 9.999995, 189390, 1022, 188368
710.000918, 10.000003, 146009, 1768, 144241
720.000916, 9.999998, 315999, 499, 315500
730.001013, 10.000097, 214779, 1138, 213641
740.000914, 9.999901, 149197, 1416, 147781
750.000916, 10.000002, 160650, 1549, 159101
760.000923, 10.000007, 49037, 3281, 45756
770.000915, 9.999992, 69360, 2273, 67087
780.000924, 10.000009, 153194, 1336, 151858
790.000935, 10.000011, 212537, 655, 211882
800.000918, 9.999983, 257338, 1322, 256016
810.000919, 10.000001, 243907, 1261, 242646
820.001062, 10.000143, 233265, 805, 232460
830.000025, 9.998963, 236917, 1486, 235431
840.000925, 10.0009, 250223, 1023, 249200
850.000916, 9.999991, 263326, 1255, 262071
860.000916, 10.0, 318287, 623, 317664
870.000977, 10.000061, 181560, 1325, 180235
880.000913, 9.999936, 177322, 1140, 176182
890.000921, 10.000008, 83919, 2463, 81456
900.000915, 9.999994, 261023, 707, 260316
910.000923, 10.000008, 239869, 709, 239160
920.000915, 9.999992, 245334, 510, 244824
930.000915, 10.0, 235960, 555, 235405
940.001393, 10.000478, 149293, 1588, 147705
949.999984, 9.998591, 264414, 625, 263789
960.001017, 10.001033, 283883, 794, 283089
970.000918, 9.999901, 330742, 570, 330172
980.00093, 10.000012, 318970, 453, 318517
990.000915, 9.999985, 251520, 511, 251009
1000.000915, 10.0, 243128, 899, 242229
1010.000915, 10.0, 221714, 769, 220945
1020.000916, 10.000001, 290328, 837, 289491
1030.000923, 10.000007, 304708, 924, 303784
1040.000915, 9.999992, 258817, 813, 258004
1050.000915, 10.0, 254800, 1146, 253654
1060.000918, 10.000003, 332899, 1051, 331848
1070.000917, 9.999999, 243427, 617, 242810
1080.000916, 9.999999, 277408, 347, 277061
1090.000923, 10.000007, 258181, 1245, 256936
1100.000989, 10.000066, 239146, 666, 238480
1110.000913, 9.999924, 211217, 399, 210818
1120.000922, 10.000009, 275412, 575, 274837
1130.000908, 9.999986, 246657, 1333, 245324
1140.000915, 10.000007, 310821, 712, 310109
1150.000915, 10.0, 238326, 1038, 237288
1160.000912, 9.999997, 241758, 745, 241013
1170.000927, 10.000015, 253464, 453, 253011
1180.000963, 10.000036, 290678, 979, 289699
1190.000915, 9.999952, 258034, 748, 257286
1200.000913, 9.999998, 279796, 617, 279179
1210.000915, 10.000002, 234954, 735, 234219
1220.000931, 10.000016, 223826, 1078, 222748
1230.000909, 9.999978, 302865, 867, 301998
1240.001086, 10.000177, 288204, 709, 287495
1250.000043, 9.998957, 293637, 1395, 292242
1259.999983, 9.99994, 256470, 882, 255588
1270.000919, 10.000936, 252883, 769, 252114
1280.000914, 9.999995, 239142, 985, 238157
1290.000976, 10.000062, 235722, 686, 235036
1300.000916, 9.99994, 185699, 774, 184925
1310.000915, 9.999999, 279922, 952, 278970
1320.001005, 10.00009, 276649, 720, 275929
1330.000969, 9.999964, 312784, 655, 312129
1340.001095, 10.000126, 270451, 824, 269627
1349.999989, 9.998894, 218367, 885, 217482
1360.001383, 10.001394, 288597, 263, 288334
1370.000258, 9.998875, 198030, 661, 197369
1379.999984, 9.999726, 252973, 398, 252575
1390.000924, 10.00094, 237460, 462, 236998
1400.000956, 10.000032, 263760, 515, 263245
1410.000923, 9.999967, 233661, 693, 232968
1420.000924, 10.000001, 235549, 1174, 234375
1430.000911, 9.999987, 303155, 729, 302426
1440.000924, 10.000013, 308902, 566, 308336
1450.000915, 9.999991, 335208, 355, 334853
1460.000926, 10.000011, 304304, 406, 303898
1470.000947, 10.000021, 236505, 1073, 235432
1480.000931, 9.999984, 243603, 1380, 242223
1490.001115, 10.000184, 395840, 975, 394865
1499.999983, 9.998868, 349915, 492, 349423
1510.000912, 10.000929, 377153, 372, 376781
1520.001044, 10.000132, 282711, 1065, 281646
1529.999988, 9.998944, 319669, 763, 318906
1540.000923, 10.000935, 313619, 358, 313261
1550.000914, 9.999991, 306364, 520, 305844
1560.000916, 10.000002, 225862, 395, 225467
1570.000942, 10.000026, 305107, 394, 304713
1580.000916, 9.999974, 194912, 1289, 193623
1590.000916, 10.0, 313920, 664, 313256
1600.001152, 10.000236, 307567, 124, 307443
1609.999981, 9.998829, 253967, 552, 253415
1620.001189, 10.001208, 354539, 111, 354428
1629.999991, 9.998802, 191863, 719, 191144
1640.001058, 10.001067, 215444, 892, 214552
1650.000001, 9.998943, 273288, 771, 272517
1660.000918, 10.000917, 217762, 1916, 215846
1670.000917, 9.999999, 155478, 1529, 153949
1680.00094, 10.000023, 399193, 389, 398804
1690.000933, 9.999993, 278367, 839, 277528
1700.001007, 10.000074, 282574, 1006, 281568
1710.000914, 9.999907, 319819, 1018, 318801
1720.000987, 10.000073, 232872, 802, 232070
1730.000921, 9.999934, 299401, 634, 298767
1740.001258, 10.000337, 266727, 821, 265906
1749.999987, 9.998729, 257278, 839, 256439
1760.000943, 10.000956, 270830, 655, 270175
1770.000916, 9.999973, 299090, 928, 298162
1780.000915, 9.999999, 273522, 766, 272756
1790.000927, 10.000012, 273212, 477, 272735
1800.000921, 9.999994, 259847, 293, 259554
1801.004862, 1.003941, 61746, 54, 61692
